epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,221.659,0.82569,0.5279,0.0208,0.82547,0.75227,0.83642,0.62413,0.90021,0.90086,0.02582,3.31776e-05,3.31776e-05,0.0668556
2,438.534,0.68496,0.39359,0.01692,0.92379,0.89612,0.94326,0.74598,0.7787,0.47972,0.02166,6.63305e-05,6.63305e-05,0.0335554
3,654.85,0.61388,0.33897,0.01495,0.91181,0.91829,0.94959,0.78049,0.6911,0.44147,0.01899,9.87642e-05,9.87642e-05,0.000254527
4,873.511,0.56898,0.29628,0.01384,0.91522,0.92406,0.956,0.78449,0.68757,0.41347,0.01893,9.75773e-05,9.75773e-05,9.75773e-05
5,1094.96,0.54952,0.28648,0.01329,0.93407,0.92866,0.95782,0.78655,0.68269,0.40351,0.0188,9.57205e-05,9.57205e-05,9.57205e-05
6,1316.63,0.52684,0.27325,0.01277,0.93689,0.9118,0.95157,0.78303,0.67811,0.44203,0.01863,9.33683e-05,9.33683e-05,9.33683e-05
7,1538.23,0.51478,0.2558,0.01239,0.93249,0.91699,0.95192,0.78902,0.66726,0.4168,0.01835,9.05463e-05,9.05463e-05,9.05463e-05
8,1760.94,0.50746,0.24866,0.01218,0.922,0.93126,0.95365,0.78445,0.66957,0.43349,0.01844,8.72857e-05,8.72857e-05,8.72857e-05
9,1984.19,0.49016,0.24622,0.01176,0.92988,0.92218,0.95624,0.78436,0.67208,0.42191,0.01841,8.3622e-05,8.3622e-05,8.3622e-05
10,2213.85,0.48325,0.23624,0.01156,0.93775,0.91837,0.95552,0.78755,0.66811,0.42465,0.01835,7.95954e-05,7.95954e-05,7.95954e-05
11,2453.02,0.47466,0.23167,0.01139,0.93825,0.92627,0.95538,0.78851,0.67429,0.41188,0.01855,7.525e-05,7.525e-05,7.525e-05
12,2693.09,0.4662,0.22754,0.01121,0.93538,0.93256,0.95481,0.79176,0.66224,0.41277,0.01832,7.06335e-05,7.06335e-05,7.06335e-05
13,2932.33,0.45696,0.2233,0.01099,0.93169,0.92996,0.95553,0.79085,0.65642,0.41759,0.01812,6.57963e-05,6.57963e-05,6.57963e-05
14,3173.2,0.44475,0.21429,0.01066,0.93536,0.93385,0.95607,0.79015,0.67279,0.39794,0.01857,6.07916e-05,6.07916e-05,6.07916e-05
15,3416.44,0.44031,0.20889,0.01056,0.94336,0.91829,0.95643,0.79065,0.66761,0.39934,0.01844,5.56742e-05,5.56742e-05,5.56742e-05
16,3659.85,0.43812,0.20691,0.01048,0.94917,0.92028,0.95727,0.79305,0.66159,0.40652,0.01832,5.05e-05,5.05e-05,5.05e-05
17,3903.09,0.43323,0.20512,0.01036,0.9397,0.92975,0.95873,0.78989,0.65971,0.40345,0.01819,4.53258e-05,4.53258e-05,4.53258e-05
18,4147.18,0.42687,0.20494,0.01019,0.93667,0.92086,0.9564,0.79079,0.65631,0.41841,0.01806,4.02084e-05,4.02084e-05,4.02084e-05
19,4391.99,0.41921,0.19914,0.01002,0.93082,0.92996,0.95323,0.7901,0.65978,0.40311,0.01825,3.52037e-05,3.52037e-05,3.52037e-05
20,4636.71,0.42005,0.18942,0.01004,0.92349,0.93256,0.95558,0.78989,0.65305,0.40252,0.018,3.03665e-05,3.03665e-05,3.03665e-05
21,4881.29,0.41417,0.19688,0.00989,0.93713,0.91958,0.95403,0.78923,0.64866,0.41409,0.01784,2.575e-05,2.575e-05,2.575e-05
22,5125.83,0.41355,0.1928,0.00988,0.92776,0.93274,0.95315,0.79148,0.65018,0.40979,0.01789,2.14046e-05,2.14046e-05,2.14046e-05
23,5372.36,0.41271,0.19713,0.00985,0.92683,0.93645,0.95518,0.79244,0.64843,0.4055,0.01781,1.7378e-05,1.7378e-05,1.7378e-05
24,5617.9,0.40742,0.19257,0.00971,0.93331,0.92737,0.95456,0.7913,0.64637,0.40685,0.01775,1.37143e-05,1.37143e-05,1.37143e-05
25,5863.14,0.40785,0.18993,0.00978,0.9372,0.92607,0.95387,0.79049,0.64601,0.4116,0.01775,1.04537e-05,1.04537e-05,1.04537e-05
26,6119.97,0.41389,0.19034,0.00986,0.93484,0.93126,0.95413,0.79197,0.64782,0.40756,0.01781,7.63174e-06,7.63174e-06,7.63174e-06
